SM_ID	Pert_ID	SM_Name	SM_Alternative_Name	SM_PubChem_CID
LSM-4257	BRD-A18328003	4221	1	66694608
LSM-42815	BRD-A19500257	408	1	13017911
LSM-1178	BRD-A21584801	28244	7559	11451527
LSM-5006	BRD-A24396574	4998	1	73707365
LSM-43303	BRD-A39996500	37628	9427	5311380
LSM-1172	BRD-A41692738	41659	1	9907093
LSM-1064	BRD-A45498368	42114	1	25260757
LSM-42794	BRD-A58767537	28250	3899	22225683
LSM-1034	BRD-A60245366	4275	8850	10109823
LSM-42782	BRD-A79768653	38345	11273	5284616
LSM-1128	BRD-A87137733	28246	1	16048642
LSM-1061	BRD-K00337317	37060	10867	11327430
LSM-1086	BRD-K01436366	32216	9060	46843906
LSM-42799	BRD-K02708799	31466	1	23658330
LSM-42792	BRD-K02965346	40981	1	9549297
LSM-1112	BRD-K03063480	37294	1	16750408
LSM-1158	BRD-K03449891	31304	8467	42642645
LSM-1149	BRD-K04801023	38258	11439	52914932
LSM-1134	BRD-K04833372	31473	1	25124816
LSM-1115	BRD-K04853698	32120	1	25195294
LSM-1035	BRD-K04887706	3893	3905	10196499
LSM-1048	BRD-K05104363	30028	7754	6918454
LSM-5245	BRD-K06569345	38251	8668	25226117
LSM-1135	BRD-K07667918	32175	1	11640390
LSM-1001	BRD-K07691486	38302	11353	160355
LSM-42796	BRD-K08799216	37247	10980	6445562
LSM-4255	BRD-K12184916	30312	7897	11977753
LSM-1143	BRD-K12343256	41774	11779	11707110
LSM-1142	BRD-K12502280	31216	8406	16722836
LSM-1004	BRD-K13390322	4422	4066	11338033
LSM-1028	BRD-K13566078	4923	4239	9813758
LSM-1009	BRD-K15592317	30236	1	44551660
LSM-1181	BRD-K16189898	29988	7719	9956119
LSM-1049	BRD-K16478699	37423	11116	24180719
LSM-36386	BRD-K19220233	29915	1	25222038
LSM-1032	BRD-K19540840	38020	11440	10302451
LSM-1051	BRD-K19687926	32107	8984	208908
LSM-1040	BRD-K20285085	41561	1	11213558
LSM-1122	BRD-K20696416	28459	1	46881851
LSM-2481	BRD-K21680192	32510	9303	4212
LSM-1008	BRD-K23984367	39973	11528	216239
LSM-42746	BRD-K24496482	38055	1	53239990
LSM-1191	BRD-K29395450	37362	1	6852167
LSM-1165	BRD-K37687095	4480	4096	16666708
LSM-1079	BRD-K40175214	41762	11768	49836027
LSM-42784	BRD-K41895714	4274	11064	10377751
LSM-1148	BRD-K42191735	28213	7584	16654980
LSM-1147	BRD-K42918627	30854	1	52914946
LSM-1132	BRD-K43389698	4924	4240	3025986
LSM-42780	BRD-K44100512	31476	1	5287844
LSM-1006	BRD-K46056750	38136	4100	67077825
LSM-1109	BRD-K48488978	42161	1	9956222
LSM-1109	BRD-K48488978	42161	1	9956222
LSM-1020	BRD-K49328571	30332	7908	3062316
LSM-1055	BRD-K49669041	28236	1	11754511
LSM-1101	BRD-K49865102	37232	10971	9826528
LSM-1024	BRD-K50140147	41547	1	16038120
LSM-1120	BRD-K50168500	28284	7753	156414
LSM-1071	BRD-K51313569	37184	10945	5330286
LSM-1047	BRD-K52911425	37355	11068	17755052
LSM-1139	BRD-K53972329	37787	8754	25126798
LSM-4256	BRD-K54997624	3943	3937	56649450
LSM-1068	BRD-K56343971	42006	11905	42611257
LSM-1150	BRD-K56751279	42147	11973	9810884
LSM-1056	BRD-K57080016	38303	4092	10127622
LSM-5674	BRD-K57282030	38271	8851	69923936
LSM-1059	BRD-K58772419	4478	4093	44137675
LSM-1021	BRD-K59369769	41767	9765	5494449
LSM-1053	BRD-K63068307	42686	1	11647372
LSM-1067	BRD-K63923597	4472	4098	16007391
LSM-1098	BRD-K64052750	31371	8547	123631
LSM-1073	BRD-K64800655	37302	11021	46191454
