drug	tau	P-value
BRD-A18328003-001-02-5_0.04um_24_25	-0.0307301767170429	0.156837970018387
BRD-A18328003-001-02-5_0.04um_3_0	-0.0400128550827503	0.0652582049369812
BRD-A18328003-001-02-5_0.04um_3_4	-0.00821778271347284	0.705036401748657
BRD-A18328003-001-02-5_0.12um_24_0	-0.0532604306936264	0.0141329728066921
BRD-A18328003-001-02-5_0.12um_24_25	0.0273457281291485	0.20772397518158
BRD-A18328003-001-02-5_0.12um_3_0	-0.00675773667171597	0.755603611469269
BRD-A18328003-001-02-5_0.12um_3_4	0.0244702845811844	0.259588956832886
BRD-A18328003-001-02-5_0.37um_24_0	-0.00569507339969277	0.793092429637909
BRD-A18328003-001-02-5_0.37um_24_25	-0.00887859892100096	0.68255603313446
BRD-A18328003-001-02-5_0.37um_3_0	-0.0206080824136734	0.342410862445831
BRD-A18328003-001-02-5_0.37um_3_4	0.017772825434804	0.412912964820862
BRD-A18328003-001-02-5_1.11um_24_0	-0.0406870655715466	0.0608547292649746
BRD-A18328003-001-02-5_1.11um_24_25	-0.00986535847187042	0.649510383605957
BRD-A18328003-001-02-5_1.11um_3_0	0.0198311787098646	0.360918283462524
BRD-A18328003-001-02-5_1.11um_3_4	0.00978498812764883	0.652177333831787
BRD-A18328003-001-02-5_10.0um_24_0	-0.0428882986307144	0.0481580682098866
BRD-A18328003-001-02-5_10.0um_24_25	0.00649430323392153	0.764847278594971
BRD-A18328003-001-02-5_10.0um_3_0	-0.0136337950825691	0.529956221580505
BRD-A18328003-001-02-5_10.0um_3_4	-0.0182327181100845	0.400926470756531
BRD-A18328003-001-02-5_3.33um_24_0	-0.0469335652887821	0.0305907391011715
BRD-A18328003-001-02-5_3.33um_24_25	-0.0771123170852661	0.000381097546778619
BRD-A18328003-001-02-5_3.33um_3_0	0.00532448058947921	0.806284546852112
BRD-A18328003-001-02-5_3.33um_3_4	-0.022327097132802	0.303660213947296
BRD-A19500257-001-01-3_0.04um_24_0	0.0101198619231582	0.64109468460083
BRD-A19500257-001-01-3_0.04um_24_25	-0.0302658192813396	0.163199409842491
BRD-A19500257-001-01-3_0.04um_3_0	-0.0205143187195063	0.344611763954163
BRD-A19500257-001-01-3_0.04um_3_4	-0.0158573519438505	0.465070605278015
BRD-A19500257-001-01-3_0.12um_24_0	0.0033197074662894	0.878514766693115
BRD-A19500257-001-01-3_0.12um_24_25	0.0167949963361025	0.439093589782715
BRD-A19500257-001-01-3_0.12um_3_0	-0.0197731330990791	0.362325847148895
BRD-A19500257-001-01-3_0.12um_3_4	-0.0251043103635311	0.24744576215744
BRD-A19500257-001-01-3_0.37um_24_0	0.0205098539590836	0.344716787338257
BRD-A19500257-001-01-3_0.37um_24_25	-0.039133258163929	0.0713948458433151
BRD-A19500257-001-01-3_0.37um_3_0	-0.0327929966151714	0.13083153963089
BRD-A19500257-001-01-3_0.37um_3_4	0.0160002317279577	0.461057901382446
BRD-A19500257-001-01-3_1.11um_24_0	-0.0041457274928689	0.848595261573792
BRD-A19500257-001-01-3_1.11um_24_25	0.0030384142883122	0.888745546340942
BRD-A19500257-001-01-3_1.11um_3_0	-0.000908622052520514	0.966688573360443
BRD-A19500257-001-01-3_1.11um_3_4	-0.0219877604395151	0.311069309711456
BRD-A19500257-001-01-3_10.0um_24_0	0.0575110875070095	0.00805604457855225
BRD-A19500257-001-01-3_10.0um_24_25	0.0741743668913841	0.000632047653198242
BRD-A19500257-001-01-3_10.0um_3_0	-0.00609245570376515	0.779012322425842
BRD-A19500257-001-01-3_10.0um_3_4	0.00890538841485977	0.681650400161743
BRD-A19500257-001-01-3_3.33um_24_0	0.0103654349222779	0.633017897605896
BRD-A19500257-001-01-3_3.33um_24_25	0.0266670510172844	0.219229817390442
BRD-A19500257-001-01-3_3.33um_3_0	-0.0322192832827568	0.137704029679298
BRD-A19500257-001-01-3_3.33um_3_4	-0.00109615083783865	0.959801912307739
BRD-A21584801-001-03-0_0.04um_24_0	-0.0257115475833416	0.236193835735321
BRD-A21584801-001-03-0_0.04um_24_25	-0.00770431105047464	0.722685098648071
BRD-A21584801-001-03-0_0.04um_3_0	-0.0384925752878189	0.0761564001441002
BRD-A21584801-001-03-0_0.04um_3_4	-0.0189739037305117	0.382054150104523
BRD-A21584801-001-03-0_0.12um_24_0	0.0138749042525887	0.522704601287842
BRD-A21584801-001-03-0_0.12um_24_25	0.0290915314108133	0.180152297019958
BRD-A21584801-001-03-0_0.12um_3_0	-0.00653448794037104	0.763435065746307
BRD-A21584801-001-03-0_0.12um_3_4	-0.0244479607790709	0.260024070739746
BRD-A21584801-001-03-0_0.37um_24_0	-0.0175763666629791	0.41809743642807
BRD-A21584801-001-03-0_0.37um_24_25	0.0455315634608269	0.0359264612197876
BRD-A21584801-001-03-0_0.37um_3_0	-0.0299086216837168	0.168223738670349
BRD-A21584801-001-03-0_0.37um_3_4	-0.0247872974723577	0.253466725349426
BRD-A21584801-001-03-0_1.11um_24_0	-0.00923579651862383	0.670519232749939
BRD-A21584801-001-03-0_1.11um_24_25	0.0307837575674057	0.156116247177124
BRD-A21584801-001-03-0_1.11um_3_0	-0.00795881450176239	0.713918447494507
BRD-A21584801-001-03-0_1.11um_3_4	0.0213849879801273	0.324521780014038
BRD-A21584801-001-03-0_10.0um_24_0	-0.000841647444758564	0.969148755073547
BRD-A21584801-001-03-0_10.0um_24_25	-0.040682602673769	0.0608830638229847
BRD-A21584801-001-03-0_10.0um_3_0	-0.0196257885545492	0.365914106369019
BRD-A21584801-001-03-0_10.0um_3_4	-0.051746804267168	0.0171197541058064
BRD-A21584801-001-03-0_3.33um_24_0	0.0320205539464951	0.140147805213928
BRD-A21584801-001-03-0_3.33um_24_25	0.00625765975564718	0.773179769515991
BRD-A21584801-001-03-0_3.33um_3_0	-0.0179157052189112	0.409166514873505
BRD-A21584801-001-03-0_3.33um_3_4	-0.00934742111712694	0.666774809360504
BRD-A24396574-001-04-9_0.04um_24_0	-0.0186479594558477	0.39028537273407
BRD-A24396574-001-04-9_0.04um_24_25	-0.055287528783083	0.0108571229502559
BRD-A24396574-001-04-9_0.04um_3_0	-0.0149420322850347	0.491232573986053
BRD-A24396574-001-04-9_0.04um_3_4	-0.0114236334338784	0.598721563816071
BRD-A24396574-001-04-9_0.12um_24_0	0.00285088527016342	0.895576477050781
BRD-A24396574-001-04-9_0.12um_24_25	-0.051746804267168	0.0171197541058064
BRD-A24396574-001-04-9_0.12um_3_0	-0.00223471899516881	0.918072819709778
BRD-A24396574-001-04-9_0.12um_3_4	-0.0334314852952957	0.12349957972765
BRD-A24396574-001-04-9_0.37um_24_0	-0.00435558147728443	0.841026902198792
BRD-A24396574-001-04-9_0.37um_24_25	-0.0422944575548172	0.0513420403003693
BRD-A24396574-001-04-9_0.37um_3_0	0.00181501160841435	0.933435201644897
BRD-A24396574-001-04-9_0.37um_3_4	-0.0200990755110979	0.354466795921326
BRD-A24396574-001-04-9_1.11um_24_0	0.0206929184496403	0.340427398681641
BRD-A24396574-001-04-9_1.11um_24_25	0.0242023859173059	0.26484203338623
BRD-A24396574-001-04-9_1.11um_3_0	-0.0199294071644545	0.358544230461121
BRD-A24396574-001-04-9_1.11um_3_4	-0.0371329486370087	0.0871191844344139
BRD-A24396574-001-04-9_10.0um_24_0	-0.0454645901918411	0.0362000539898872
BRD-A24396574-001-04-9_10.0um_24_25	-0.0698478072881699	0.00129030470270663
BRD-A24396574-001-04-9_10.0um_3_0	0.0603016950190067	0.00546455383300781
BRD-A24396574-001-04-9_10.0um_3_4	-0.0188935343176126	0.384073853492737
BRD-A24396574-001-04-9_3.33um_24_0	-0.0349451117217541	0.107400141656399
BRD-A24396574-001-04-9_3.33um_24_25	-0.0200856812298298	0.354787647724152
BRD-A24396574-001-04-9_3.33um_3_0	-0.0403566583991051	0.0629809573292732
BRD-A24396574-001-04-9_3.33um_3_4	-0.0038644343148917	0.858761787414551
BRD-A39996500-001-01-4_0.04um_24_0	-0.0352308712899685	0.104556128382683
BRD-A39996500-001-01-4_0.04um_24_25	-0.0383474230766296	0.0772700086236
BRD-A39996500-001-01-4_0.04um_3_0	-0.073058120906353	0.000762549985665828
BRD-A39996500-001-01-4_0.04um_3_4	0.00210076989606023	0.922972679138184
BRD-A39996500-001-01-4_0.12um_24_0	-0.00904826819896698	0.676828265190125
BRD-A39996500-001-01-4_0.12um_24_25	-0.0526799857616425	0.0152191435918212
BRD-A39996500-001-01-4_0.12um_3_0	-0.00303394929505885	0.8889080286026
BRD-A39996500-001-01-4_0.12um_3_4	-0.0252561196684837	0.244598209857941
BRD-A39996500-001-01-4_0.37um_24_0	0.00185966130811721	0.931799650192261
BRD-A39996500-001-01-4_0.37um_24_25	-0.0130511308088899	0.5476895570755
BRD-A39996500-001-01-4_0.37um_3_0	0.00816420372575521	0.706870794296265
BRD-A39996500-001-01-4_0.37um_3_4	-0.0415979214012623	0.0552993156015873
BRD-A39996500-001-01-4_1.11um_24_0	0.000823787529952824	0.969804763793945
BRD-A39996500-001-01-4_1.11um_24_25	-0.0146160889416933	0.500736117362976
BRD-A39996500-001-01-4_1.11um_3_0	-0.0195454191416502	0.367880642414093
