drug	tau	P-value
BRD-A18328003-001-02-5_0.04um_24_25	0.0287241004407406	0.211117625236511
BRD-A18328003-001-02-5_0.04um_3_0	0.0104774283245206	0.648350119590759
BRD-A18328003-001-02-5_0.04um_3_4	-0.00721529731526971	0.753501772880554
BRD-A18328003-001-02-5_0.12um_24_0	0.0369997322559357	0.107220888137817
BRD-A18328003-001-02-5_0.12um_24_25	0.0300222393125296	0.191206693649292
BRD-A18328003-001-02-5_0.12um_3_0	0.0552911683917046	0.0160752534866333
BRD-A18328003-001-02-5_0.12um_3_4	0.0356064699590206	0.121105551719666
BRD-A18328003-001-02-5_0.37um_24_0	0.0585700832307339	0.0107734203338623
BRD-A18328003-001-02-5_0.37um_24_25	-0.0147187588736415	0.521705329418182
BRD-A18328003-001-02-5_0.37um_3_0	0.038784671574831	0.0913103818893433
BRD-A18328003-001-02-5_0.37um_3_4	0.0310462024062872	0.176503300666809
BRD-A18328003-001-02-5_1.11um_24_0	0.0368038900196552	0.109092712402344
BRD-A18328003-001-02-5_1.11um_24_25	0.0285450480878353	0.213977575302124
BRD-A18328003-001-02-5_1.11um_3_0	0.0394225493073463	0.0861074924468994
BRD-A18328003-001-02-5_1.11um_3_4	-0.0338271260261536	0.140837594866753
BRD-A18328003-001-02-5_10.0um_24_0	0.051156148314476	0.0259360074996948
BRD-A18328003-001-02-5_10.0um_24_25	0.011803544126451	0.607396602630615
BRD-A18328003-001-02-5_10.0um_3_0	0.0547875799238682	0.0170662403106689
BRD-A18328003-001-02-5_10.0um_3_4	0.0258229114115238	0.26093602180481
BRD-A18328003-001-02-5_3.33um_24_0	0.0621455609798431	0.00681734085083008
BRD-A18328003-001-02-5_3.33um_24_25	-0.0026997912209481	0.906523644924164
BRD-A18328003-001-02-5_3.33um_3_0	0.0322660021483898	0.160107731819153
BRD-A18328003-001-02-5_3.33um_3_4	0.0162966679781675	0.478064060211182
BRD-A19500257-001-01-3_0.04um_24_0	0.00413781497627497	0.857125282287598
BRD-A19500257-001-01-3_0.04um_24_25	-0.01089708507061	0.635266780853271
BRD-A19500257-001-01-3_0.04um_3_0	-0.0129170324653387	0.573929667472839
BRD-A19500257-001-01-3_0.04um_3_4	0.00836795382201672	0.715700507164001
BRD-A19500257-001-01-3_0.12um_24_0	0.00226894370280206	0.921403646469116
BRD-A19500257-001-01-3_0.12um_24_25	0.00578286917880177	0.801304817199707
BRD-A19500257-001-01-3_0.12um_3_0	-0.0513911582529545	0.025260204449296
BRD-A19500257-001-01-3_0.12um_3_4	-0.0131408497691154	0.567309617996216
BRD-A19500257-001-01-3_0.37um_24_0	-0.0158826075494289	0.489319384098053
BRD-A19500257-001-01-3_0.37um_24_25	-0.0392099246382713	0.0878144726157188
BRD-A19500257-001-01-3_0.37um_3_0	-0.0543958991765976	0.017873726785183
BRD-A19500257-001-01-3_0.37um_3_4	-0.0213605258613825	0.352425396442413
BRD-A19500257-001-01-3_1.11um_24_0	-0.0363450683653355	0.113579347729683
BRD-A19500257-001-01-3_1.11um_24_25	-0.0302348658442497	0.188081637024879
BRD-A19500257-001-01-3_1.11um_3_0	-0.0353322960436344	0.123996630311012
BRD-A19500257-001-01-3_1.11um_3_4	-0.00436722720041871	0.849291026592255
BRD-A19500257-001-01-3_10.0um_24_0	0.0230895113199949	0.314813375473022
BRD-A19500257-001-01-3_10.0um_24_25	0.00602906756103039	0.793030023574829
BRD-A19500257-001-01-3_10.0um_3_0	-0.0185404326766729	0.419602572917938
BRD-A19500257-001-01-3_10.0um_3_4	0.00748947309330106	0.744452595710754
BRD-A19500257-001-01-3_3.33um_24_0	-0.00156392052304	0.945809662342072
BRD-A19500257-001-01-3_3.33um_24_25	-0.0131856128573418	0.565989971160889
BRD-A19500257-001-01-3_3.33um_3_0	0.0425168164074421	0.0641666650772095
BRD-A19500257-001-01-3_3.33um_3_4	-0.0177123099565506	0.440674126148224
BRD-A21584801-001-03-0_0.04um_24_0	0.0227873586118221	0.321188688278198
BRD-A21584801-001-03-0_0.04um_24_25	-0.0434232763946056	0.0586929619312286
